year,age,deaths
2022,7 anos,4
2022,10 anos,4
2022,11 anos,9
2022,13 anos,12
2022,20 anos,47
2022,23 anos,44
2022,43 anos,215
2022,50 anos,433
2022,53 anos,555
2022,81 anos,3649
2022,84 anos,4694
2022,103 anos,132
2022,1 ano,15
2022,25 anos,34
2022,35 anos,77
2022,57 anos,816
2022,54 anos,612
2022,60 anos,1001
2022,64 anos,1274
2022,76 anos,2661
2022,77 anos,2908
2022,83 anos,4500
2022,86 anos,5324
2022,92 anos,4041
2022,73 anos,2233
2022,85 anos,4952
2022,99 anos,820
2022,108 anos,10
2022,5 anos,6
2022,8 anos,10
2022,26 anos,53
2022,27 anos,51
2022,44 anos,230
2022,48 anos,344
2022,6 anos,14
2022,24 anos,45
2022,29 anos,42
2022,30 anos,55
2022,37 anos,105
2022,45 anos,279
2022,59 anos,935
2022,63 anos,1232
2022,67 anos,1495
2022,72 anos,2045
2022,80 anos,3189
2022,82 anos,4024
2022,90 anos,4878
2022,98 anos,1176
2022,105 anos,39
2022,111 anos,1
2022,3 anos,22
2022,14 anos,13
2022,18 anos,44
2022,47 anos,350
2022,55 anos,705
2022,62 anos,1137
2022,68 anos,1549
2022,69 anos,1687
2022,70 anos,1802
2022,71 anos,1893
2022,101 anos,404
2022,102 anos,240
2022,109 anos,3
2022,110 anos,4
2022,113 anos,1
2022,65 anos,1338
2022,66 anos,1438
2022,79 anos,3244
2022,89 anos,5089
2022,91 anos,4504
2022,93 anos,3711
2022,94 anos,2994
2022,96 anos,2062
2022,97 anos,1575
2022,4 anos,9
2022,15 anos,22
2022,22 anos,49
2022,28 anos,38
2022,32 anos,68
2022,33 anos,73
2022,38 anos,127
2022,46 anos,265
2022,49 anos,379
2022,52 anos,516
2022,74 anos,2290
2022,78 anos,3073
2022,87 anos,5186
2022,88 anos,5028
2022,107 anos,13
2022,2 anos,15
2022,9 anos,3
2022,16 anos,17
2022,17 anos,22
2022,19 anos,38
2022,21 anos,36
2022,31 anos,54
2022,34 anos,62
2022,36 anos,76
2022,56 anos,743
2022,58 anos,846
2022,61 anos,1055
2022,75 anos,2498
2022,95 anos,2547
2022,100 anos,610
2022,104 anos,76
2022,106 anos,28
2022,12 anos,6
2022,39 anos,117
2022,40 anos,132
2022,41 anos,145
2022,42 anos,181
2022,51 anos,500
2022,112 anos,0
2022,115 anos,0
2022,114 anos,0
2022,119 anos,0
2022,117 anos,0
2022,116 anos,0
2022,118 anos,0
